URL,Status,First Name,Last Name,Email ,Phone,Note,Niche (Comma Seperated),Type (Comma Seprated),Traffic,RD,DA,Est Cost,Requirements,,,,,,,,,,,,,,,,
https://www.softwareworld.co/,Waiting for reply,,,info@softwareworld.co,,,Human Resources,Guest post,,,32,,https://www.softwareworld.co/write-for-us-softwareworld/,,,,,,,,,,,,,,,,
https://thenextscoop.com/,Waiting for reply,,,editor@thenextscoop.com,,,Human Resources,Guest post,,,44,,https://thenextscoop.com/write-for-us/,,,,,,,,,,,,,,,,
https://www.cpajournal.com/,Waiting for reply,,,CPAJ-Editors@nysscpa.org. ,,,Human Resources,Guest post,,,53,,https://www.cpajournal.com/write-for-us-submission-guidelines/,,,,,,,,,,,,,,,,
https://hr-gazette.com/,Waiting for reply,,,sales@hr-gazette ,,,Human Resources,Guest post,,,43,,https://hr-gazette.com/write-for-the-hr-gazette/,,,,,,,,,,,,,,,,
https://financesonline.com/,Waiting for reply,,,support@financesonline.com ,,,Human Resources,Guest post,,,71,,https://financesonline.com/write-for-us/,,,,,,,,,,,,,,,,
https://www.m2sys.com/,Waiting for reply,,,marketing@m2ys.com,,,Human Resources,Guest post,,,48,,https://www.m2sys.com/blog/guest-posting-content-submission-guidelines/,,,,,,,,,,,,,,,,
https://www.booker.com/,Waiting for reply,,,content@booker.com,,,Human Resources,Guest post,,,58,,https://www.booker.com/write_for_us,,,,,,,,,,,,,,,,
http://enterprisedojo.com/,Waiting for reply,,,joneskirsty28@yahoo.co.uk,,,Human Resources,Guest post,,,21,,http://enterprisedojo.com/write-for-us/,,,,,,,,,,,,,,,,
https://www.softwaresuggest.com/,Waiting for reply,,,team@softwaresuggest.com,,,Human Resources,Guest post,,,47,,https://www.softwaresuggest.com/blog/write-for-us/,,,,,,,,,,,,,,,,
https://www.politico.com/,Waiting for reply,,,magazinesubmissions@politico.com,,,Human Resources,Guest post,,,92,,https://www.politico.com/write-for-us,,,,,,,,,,,,,,,,
